	Iteration	1	2	3	4	5
Etats
0		down	down	down	down	down
1		stay	down	down	down	down
2		stay	stay	stay	stay	stay
3		stay	stay	down	jumpF	jumpF
4		stay	stay	right	right	right
5		stay	down	down	down	down
6		stay	stay	stay	stay	stay
7		left	left	left	left	left
8		stay	stay	stay	stay	stay
9		stay	jumpF	jumpF	jumpF	jumpF
10		stay	stay	stay	stay	stay
11		right	right	right	right	right
12		stay	stay	stay	stay	stay
13		stay	up	up	up	up
14		stay	stay	left	left	left
15		stay	stay	up	left	up
16		stay	stay	stay	stay	stay
17		stay	up	up	up	up
18		stay	stay	stay	stay	stay
19		stay	stay	up	up	up
20		stay	stay	stay	stay	stay
21		stay	stay	stay	up	up
22		stay	stay	stay	stay	stay
23		stay	stay	up	up	up
24		stay	stay	stay	stay	stay
25		stay	stay	down	down	down
26		stay	stay	stay	stay	stay
27		stay	stay	stay	stay	stay
28		stay	stay	stay	right	right
29		stay	stay	jumpF	jumpF	jumpF
30		jumpF	jumpF	jumpF	jumpF	jumpF
31		stay	left	left	left	left
32		stay	stay	left	left	left
33		stay	stay	stay	stay	stay
34		stay	stay	stay	stay	stay
35		stay	stay	stay	stay	stay
